AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"26,340",3.8,,,,,25.70,"53,460",0.7,17.77,20.75,24.14,30.03,37.14,"36,960","43,150","50,200","62,460","77,250",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,"20,870",4.8,,,,,26.13,"54,340",0.9,17.87,21.19,24.16,30.69,39.68,"37,180","44,080","50,250","63,820","82,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4052,"Pourers and Casters, Metal",detailed,"5,460",4.1,,,,,24.09,"50,110",0.8,17.41,19.30,23.41,27.78,32.83,"36,220","40,140","48,690","57,780","68,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,"4,990",4.4,,,,,29.06,"60,450",1.2,19.05,22.32,28.29,34.44,39.98,"39,630","46,430","58,840","71,630","83,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4061,"Model Makers, Metal and Plastic",detailed,"2,840",4.8,,,,,31.21,"64,920",1.2,20.42,23.69,30.86,37.00,42.51,"42,470","49,270","64,190","76,960","88,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4062,"Patternmakers, Metal and Plastic",detailed,"2,150",8.6,,,,,26.22,"54,550",2.2,17.44,21.20,23.88,31.17,37.13,"36,280","44,090","49,670","64,830","77,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"170,760",1.2,,,,,20.32,"42,270",0.3,14.60,16.85,18.83,22.87,27.98,"30,360","35,040","39,170","47,560","58,190",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,detailed,"11,780",2.7,,,,,21.70,"45,130",0.7,15.90,17.97,21.30,24.22,29.47,"33,070","37,390","44,300","50,380","61,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"158,980",1.3,,,,,20.22,"42,060",0.3,14.56,16.78,18.69,22.75,27.87,"30,280","34,900","38,870","47,320","57,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"127,790",1.4,,,,,21.15,"43,990",0.3,15.02,17.47,20.00,23.88,28.70,"31,240","36,330","41,600","49,660","59,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"127,790",1.4,,,,,21.15,"43,990",0.3,15.02,17.47,20.00,23.88,28.70,"31,240","36,330","41,600","49,660","59,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4110,Tool and Die Makers,broad,"58,150",1.1,,,,,29.82,"62,020",0.3,19.50,23.59,29.56,35.59,39.29,"40,560","49,070","61,490","74,030","81,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,detailed,"58,150",1.1,,,,,29.82,"62,020",0.3,19.50,23.59,29.56,35.59,39.29,"40,560","49,070","61,490","74,030","81,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4120,"Welding, Soldering, and Brazing Workers",broad,"454,760",0.9,,,,,25.12,"52,240",0.2,17.64,20.26,23.40,28.63,34.70,"36,690","42,130","48,680","59,540","72,180",,
